Original_SMILES,Product_SMILES,Similarity,Reaction_SMARTS,DOI
*c1ccnc(NC)n1,*c1ccc(F)c(NC)c1C,0.25,[*:1][c:2]1[c:3][c:5]n[c:7]n1>>[*:1][c:2]1[c:3][c][c:5]([F])[c:7][c]1[C],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cc(Cl)c(NC)cc1OC,0.2,[*:1][c:2]1[c:3][c:4]n[c:6]n1>>[*:1][c:2]1[c:3][c:4]([Cl])[c:6][c][c]1[O][C],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1ccc(OCNC)c(Cl)c1,0.2195,[*:1][c:2]1[c:10][c:3]n[c:7]n1>>[*:1][c:2]1[c:3][c][c]([O][C:7])[c]([Cl])[c:10]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cc2c(cc1NC)CCC2,0.2162,[*:1][c:2]1[c:7][c:6]n[c:3]n1>>[*:1][c:2]1[c:3][c][c]2[c:6]([c:7]1)[C][C][C]2,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1ccc(C(F)(F)F)c(NC)n1,0.3714,[*:1][c:2]1[c:3][c:4]n[c:10][n:11]1>>[*:1][c:2]1[c:3][c:4][c]([C]([F])([F])[F])[c:10][n:11]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cc2c[nH]nc2cc1NC,0.2564,[*:1][c:2]1[c:10][c:9][n:7][c:3][n:6]1>>[*:1][c:2]1[c:3][c][c]2[n:6][nH:7][c][c:9]2[c:10]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1ccc(NC)cc1OC(C)C,0.2564,[*:1][c:2]1[c:3][c:4]n[c:5]n1>>[*:1][c:2]1[c:3][c:4][c:5][c][c]1[O][C]([C])[C],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1c(Cl)cccc1CNC,0.2051,[*:1][c:2]1[c:3][c:5]n[c:4]n1>>[*:1][c:2]1[c:3]([C:4])[c:5][c][c][c]1[Cl],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1ccc(-c2cccnc2NC)cc1,0.3514,[*:1][c:2]1[c:3][c:9][n:10][c:11]n1>>[*:1][c:2]1[c:3][c][c](-[c]2[c][c][c:9][n:10][c:11]2)[c][c]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cc(CNC)ccc1F,0.2051,[*:1][c:2]1[c:3][c:4]n[c:5]n1>>[*:1][c:2]1[c:3][c:4]([C:5])[c][c][c]1[F],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1ccc(C#N)c(NC)n1,0.3714,[*:1][c:2]1[c:3][c:4][n:7][c:8][n:9]1>>[*:1][c:2]1[c:3][c:4][c]([C]#[N:7])[c:8][n:9]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1ccc(NC)nc1OC,0.3143,[*:1][c:2]1[c:3][c:4]n[c:5][n:6]1>>[*:1][c:2]1[c:3][c:4][c:5][n:6][c]1[O][C],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1ccc(C(NC)N2CCCC2)cc1,0.1951,[*:1][c:2]1[c:3][c:4]n[c:6][n:7]1>>[*:1][c:2]1[c:3][c:4][c]([C:6][N:7]2[C][C][C][C]2)[c][c]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cc(F)c(NC)cc1Cl,0.2105,[*:1][c:2]1[c:3][c:4]n[c:6]n1>>[*:1][c:2]1[c:3][c:4]([F])[c:6][c][c]1[Cl],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*C1CCC(NC)c2ccccc21,0.175,[*:1][c:2]1[c:3][c:4]n[c:5]n1>>[*:1][C:2]1[C:3][C:4][C:5][c]2[c][c][c][c][c]21,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1ccc(C#C)c(NC)c1,0.2368,[*:1][c:2]1[c:3][c:4]n[c:8]n1>>[*:1][c:2]1[c:3][c:4][c]([C]#[C])[c:8][c]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cc(Br)c(F)cc1NC,0.2105,[*:1][c:2]1[c:9][c:7]n[c:3]n1>>[*:1][c:2]1[c:3][c][c]([F])[c:7]([Br])[c:9]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cc(Cl)c(NC)cn1,0.3143,[*:1][c:2]1[c:3][c:4]n[c:6][n:8]1>>[*:1][c:2]1[c:3][c:4]([Cl])[c:6][c][n:8]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cc(Cl)ccc1CNC,0.2051,[*:1][c:2]1[c:3][c:4]n[c:9]n1>>[*:1][c:2]1[c:3][c:4]([Cl])[c][c][c]1[C:9],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1c(NC)ccc2c1OCCO2,0.225,[*:1][c:2]1[c:7][c:6]n[c:3]n1>>[*:1][c:2]1[c:3][c][c][c:6]2[c:7]1[O][C][C][O]2,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cc(Br)c(NC)s1,0.2222,[*:1][c:2]1[c:3][c:4]n[c:6]n1>>[*:1][c:2]1[c:3][c:4]([Br])[c:6][s]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cc(F)c(NC)cc1O,0.2105,[*:1][c:2]1[c:3][c:4]n[c:6]n1>>[*:1][c:2]1[c:3][c:4]([F])[c:6][c][c]1[O],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1c(CC)cccc1C(C)NC,0.1905,[*:1][c:2]1[c:3][c:6]n[c:4]n1>>[*:1][c:2]1[c:3]([C:4][C])[c:6][c][c][c]1[C][C],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cccc(-c2ccsc2NC)c1,0.2093,[*:1][c:2]1[c:12][c:3]n[c:11]n1>>[*:1][c:2]1[c:3][c][c][c](-[c]2[c][c][s][c:11]2)[c:12]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cnn(C(C)NC)c1,0.2051,[*:1][c:2]1[c:8][c:3][n:4][c:6][n:5]1>>[*:1][c:2]1[c:3][n:4][n:5]([C:6][C])[c:8]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1ccc(-c2ccsc2NC)cc1,0.2368,[*:1][c:2]1[c:7][c:3]n[c:10]n1>>[*:1][c:2]1[c:3][c][c](-[c]2[c:7][c][s][c:10]2)[c][c]1,https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1ccc(NC)c(OC)c1F,0.2308,[*:1][c:2]1[c:3][c:4]n[c:5]n1>>[*:1][c:2]1[c:3][c:4][c:5][c]([O][C])[c]1[F],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1c(Br)cc(Br)cc1NC,0.2571,[*:1][c:2]1[c:8][c:5]n[c:3]n1>>[*:1][c:2]1[c:3][c][c:5]([Br])[c][c:8]1[Br],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1ccc(NC)c(C(F)(F)F)c1F,0.2632,[*:1][c:2]1[c:3][c:4]n[c:5]n1>>[*:1][c:2]1[c:3][c:4][c:5][c]([C]([F])([F])[F])[c]1[F],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1c(F)cc(NC)c(F)c1F,0.2222,[*:1][c:2]1[c:3][c:5]n[c:6]n1>>[*:1][c:2]1[c:3]([F])[c:5][c:6][c]([F])[c]1[F],https://doi.org/10.1016/j.ejmech.2022.114483
*c1ccnc(NC)n1,*c1cc(C)c(Br)cc1NC,0.2162,[*:1][c:2]1[c:9][c:7]n[c:3]n1>>[*:1][c:2]1[c:3][c][c]([Br])[c:7]([C])[c:9]1,https://doi.org/10.1016/j.ejmech.2022.114483
